Date,Roll No,Test ID,Chapter_Name,Marks_Scored
11/10/2024,242019,101,Units and Measurements (PUC-I),100
11/10/2024,242019,101,Motion in a Straight Line (PUC-I),77
11/10/2024,242019,101,Motion in a Plane (PUC-I),0
11/10/2024,242019,101,Laws of Motion (PUC-I),50
11/10/2024,242019,101,"Work, Energy and Power (PUC-I)",100
11/10/2024,242019,101,System of Particles and Rotational Motion (PUC-I),0
11/10/2024,242019,101,Gravitation (PUC-I),71
11/10/2024,242019,101,Mechanical Properties of Solids (PUC-I),0
11/10/2024,242019,101,Mechanical Properties of Fluids (PUC-I),0
11/10/2024,242019,101,Thermal Properties of Matter (PUC-I),0
11/10/2024,242019,101,Thermodynamics (PUC-I),61
11/10/2024,242019,101,Kinetic Theory (PUC-I),0
11/10/2024,242019,101,Oscillations (PUC-I),81
11/10/2024,242019,101,Waves (PUC-I),85
11/10/2024,242019,101,Electric Charges and Fields (PUC-II),0
11/10/2024,242019,101,Electrostatic Potential and Capacitance (PUC-II),29
11/10/2024,242019,101,Current Electricity (PUC-II),82
11/10/2024,242019,101,Moving charges and magnetism (PUC-II),100
11/10/2024,242019,101,Magnetism and Matter (PUC-II),46
11/10/2024,242019,101,Electromagnetic Induction (PUC-II),0
11/10/2024,242019,101,Alternating Current (PUC-II),0
11/10/2024,242019,101,Electromagnetic Waves (PUC-II),60
11/10/2024,242019,101,Ray Optics and Optical Instruments (PUC-II),63
11/10/2024,242019,101,Wave Optics (PUC-II),71
11/10/2024,242019,101,Dual Nature of Radiation and Matter (PUC-II),0
11/10/2024,242019,101,Atoms (PUC-II),0
11/10/2024,242019,101,Nuclei (PUC-II),0
11/10/2024,242019,101,"Semiconductor Electronics Materials, Devices and Simple Circuits (PUC-II)",0
15/10/2024,242019,102,Units and Measurements (PUC-I),0
15/10/2024,242019,102,Motion in a Straight Line (PUC-I),100
15/10/2024,242019,102,Motion in a Plane (PUC-I),82
15/10/2024,242019,102,Laws of Motion (PUC-I),50
15/10/2024,242019,102,"Work, Energy and Power (PUC-I)",67
15/10/2024,242019,102,System of Particles and Rotational Motion (PUC-I),58
15/10/2024,242019,102,Gravitation (PUC-I),61
15/10/2024,242019,102,Mechanical Properties of Solids (PUC-I),0
15/10/2024,242019,102,Mechanical Properties of Fluids (PUC-I),100
15/10/2024,242019,102,Thermal Properties of Matter (PUC-I),0
15/10/2024,242019,102,Thermodynamics (PUC-I),0
15/10/2024,242019,102,Kinetic Theory (PUC-I),0
15/10/2024,242019,102,Oscillations (PUC-I),46
15/10/2024,242019,102,Waves (PUC-I),0
15/10/2024,242019,102,Electric Charges and Fields (PUC-II),0
15/10/2024,242019,102,Electrostatic Potential and Capacitance (PUC-II),0
15/10/2024,242019,102,Current Electricity (PUC-II),0
15/10/2024,242019,102,Moving charges and magnetism (PUC-II),0
15/10/2024,242019,102,Magnetism and Matter (PUC-II),0
15/10/2024,242019,102,Electromagnetic Induction (PUC-II),56
15/10/2024,242019,102,Alternating Current (PUC-II),0
15/10/2024,242019,102,Electromagnetic Waves (PUC-II),100
15/10/2024,242019,102,Ray Optics and Optical Instruments (PUC-II),87
15/10/2024,242019,102,Wave Optics (PUC-II),0
15/10/2024,242019,102,Dual Nature of Radiation and Matter (PUC-II),100
15/10/2024,242019,102,Atoms (PUC-II),100
15/10/2024,242019,102,Nuclei (PUC-II),0
15/10/2024,242019,102,"Semiconductor Electronics Materials, Devices and Simple Circuits (PUC-II)",100
